Departamento,"Superficie
(km²)",Población Censo 2017,Población Estimado 2020,"Densidad
2017 (hab/km²)"
Amazonas,"39 249,13",379 384,426 806,"9,66"
Áncash,"35 914,81",1 083 519,1 180 638,"30,17"
Apurímac,"20 895,79",405 759,430 736,"19,42"
Arequipa,"63 345,39",1 382 730,1 497 438,"21,83"
Ayacucho,"43 814,80",616 176,668 213,"14,06"
Cajamarca,"33 317,54",1 341 012,1 453 711,"40,25"
Callao,"146,98",994 494,1 129 854,"6766,19"
Cusco,"71 986,50",1 205 527,1 357 075,"16,75"
Huancavelica,"22 131,47",347 639,365 317,"15,71"
Huánuco,"36 848,85",721 047,760 267,"19,57"
Ica,"21 327,83",850 765,975 182,"39,89"
Junín,"44 197,23",1 246 038,1 361 467,"28,19"
La Libertad,"25 499,9",1 778 080,2 016 771,"69,73"
Lambayeque,"14 231,3",1 197 260,1 310 785,"69,73"
Lima,"34 801,59",9 485 405,10 628 470,"272,56"
Loreto,"368 851,95",883 510,1 027 559,"2,40"
Madre de Dios,"85 300,54",141 070,173 811,"1,65"
Moquegua,"15 733,97",174 863,192 740,"11,11"
Pasco,"25 319,59",254 065,271 904,"10,03"
Piura,"35 892,49",1 856 809,2 047 954,"51,73"
Puno,"71 999,00",1 172 697,1 237 997,"16,28"
San Martín,"51 253,31",813 381,899 648,"15,87"
Tacna,"16 075,89",329 332,370 974,"20,49"
Tumbes,"4669,20",224 863,251 521,"48,16"
Ucayali,"102 410,55",496 459,589 110,"4,85"
